model_name,model_type,start_time,cpu_time_total,device_time_total,self_cpu_time_total,self_device_time_total,self_device_memory_usage
GPT2,folded,20250123-165025,12409346.303,12419335,6348685.444,3715957,"-76293760000"
GPT2,original,20250123-165025,12899723.208,12907888,6137394.403,3928718,"-78754560000"
GPT2,folded,20250123-165324,13354788.012,13363453,6893887.759,4130508,"-76293760000"
GPT2,original,20250123-165324,12458353.408,12466684,5957917.031,3809795,"-78754560000"
GPT2,folded,20250123-165549,12679903.607,12689728,6531304.1,3866643,"-76293760000"
GPT2,original,20250123-165549,11855273.507,11863726,5667275.962,3590668,"-78754560000"
GPT2,folded,20250123-165815,9918381.706,9926624,5022108.592,2948635,"-76293760000"
GPT2,original,20250123-165815,10981816.002,10989415,5221700.355,3310992,"-78754560000"
GPT2,folded,20250123-170019,10571628.902,10580109,5390702.513,3143816,"-76293760000"
GPT2,original,20250123-170019,10475934.404,10483940,4931011.578,3117536,"-78754560000"
GPT2,folded,20250123-170219,9827202.205,9836961,4995528.201,2841285,"-76293760000"
GPT2,original,20250123-170219,9175061.904,9181860,4366730.37,2664418,"-78754560000"
GPT2,folded,20250123-170418,11081830.108,11090842,5663382.705,3275283,"-76293760000"
GPT2,original,20250123-170418,8813213.004,8820630,4189521.877,2527670,"-78754560000"
GPT2,folded,20250123-170615,9978967.905,9988351,5079849.02,2972559,"-76293760000"
GPT2,original,20250123-170615,9731390.904,9738927,4650731.617,2901550,"-78754560000"
GPT2,folded,20250123-170811,9649884.006,9660319,4909532.882,2867690,"-76293760000"
GPT2,original,20250123-170811,9693453.302,9700596,4642788.007,2888548,"-78754560000"
GPT2,folded,20250123-171007,10324984.603,10333365,5294336.455,3078645,"-76293760000"
GPT2,original,20250123-171007,11069907.703,11078830,5252045.401,3361031,"-78754560000"
